time_bucket,gfr_lo,gfr_hi,dow,gap_bucket,avg_yes_price,std_yes_price,n_obs,note
11:30,-99.0,-0.5,ALL,large,0.543,0.2766,19,OK
11:30,-0.5,-0.2,ALL,ALL,0.7516,0.2257,83,OK
11:30,-0.5,-0.2,Mon,ALL,0.6889,0.1963,16,OK
11:30,-0.5,-0.2,Tue,ALL,0.8441,0.193,28,OK
11:30,-0.5,-0.2,Wed,ALL,0.6799,0.231,15,OK
11:30,-0.5,-0.2,Thu,ALL,0.764,0.2141,12,OK
11:30,-0.5,-0.2,Fri,ALL,0.6966,0.2899,12,OK
11:30,-0.5,-0.2,ALL,small,0.708,0.2465,60,OK
11:30,-0.5,-0.2,ALL,large,0.8652,0.091,23,OK
11:30,-0.2,0.1,ALL,ALL,0.6442,0.3141,90,OK
11:30,-0.2,0.1,Mon,ALL,0.6457,0.3133,18,OK
11:30,-0.2,0.1,Tue,ALL,0.7154,0.3209,16,OK
11:30,-0.2,0.1,Wed,ALL,0.4807,0.3664,13,OK
11:30,-0.2,0.1,Thu,ALL,0.6907,0.2563,36,OK
11:30,-0.2,0.1,Fri,ALL,0.542,0.4237,7,OK
11:30,-0.2,0.1,ALL,small,0.6865,0.2827,80,OK
11:30,-0.2,0.1,ALL,large,0.3059,0.3624,10,OK
11:30,0.1,0.4,ALL,ALL,0.528,0.3701,76,OK
11:30,0.1,0.4,Mon,ALL,0.6092,0.3979,21,OK
11:30,0.1,0.4,Tue,ALL,0.4053,0.3416,5,OK
11:30,0.1,0.4,Wed,ALL,0.5639,0.377,4,LOW_OBS
11:30,0.1,0.4,Thu,ALL,0.4997,0.3674,42,OK
11:30,0.1,0.4,Fri,ALL,0.5173,0.3767,4,LOW_OBS
11:30,0.1,0.4,ALL,small,0.5318,0.3647,72,OK
11:30,0.1,0.4,ALL,large,0.4608,0.5194,4,LOW_OBS
11:30,0.4,0.7,ALL,ALL,0.6227,0.3843,39,OK
11:30,0.4,0.7,Mon,ALL,0.6415,0.4174,4,LOW_OBS
11:30,0.4,0.7,Tue,ALL,0.4126,0.4287,11,OK
11:30,0.4,0.7,Wed,ALL,0.8522,0.0659,7,OK
11:30,0.4,0.7,Thu,ALL,0.6901,0.3717,12,OK
11:30,0.4,0.7,Fri,ALL,0.5872,0.4443,5,OK
11:30,0.4,0.7,ALL,small,0.6628,0.3621,34,OK
11:30,0.4,0.7,ALL,large,0.3506,0.4638,5,LOW_OBS
11:30,0.7,99.0,ALL,ALL,0.6157,0.3863,72,OK
11:30,0.7,99.0,Mon,ALL,0.7425,0.382,10,OK
11:30,0.7,99.0,Tue,ALL,0.5349,0.3729,17,OK
11:30,0.7,99.0,Wed,ALL,0.747,0.3352,19,OK
11:30,0.7,99.0,Thu,ALL,0.5008,0.4805,12,OK
11:30,0.7,99.0,Fri,ALL,0.5433,0.358,14,OK
11:30,0.7,99.0,ALL,small,0.6343,0.377,67,OK
11:30,0.7,99.0,ALL,large,0.3652,0.4685,5,LOW_OBS
11:00,-99.0,-0.5,ALL,ALL,0.5496,0.1825,225,OK
11:00,-99.0,-0.5,Mon,ALL,0.5303,0.2182,62,OK
11:00,-99.0,-0.5,Tue,ALL,0.5916,0.1759,28,OK
11:00,-99.0,-0.5,Wed,ALL,0.5401,0.1982,40,OK
11:00,-99.0,-0.5,Thu,ALL,0.5308,0.1426,51,OK
11:00,-99.0,-0.5,Fri,ALL,0.5805,0.1553,44,OK
11:00,-99.0,-0.5,ALL,small,0.5367,0.1755,205,OK
11:00,-99.0,-0.5,ALL,large,0.6818,0.2048,20,OK
11:00,-0.5,-0.2,ALL,ALL,0.6488,0.2849,82,OK
11:00,-0.5,-0.2,Mon,ALL,0.3625,0.2281,10,OK
11:00,-0.5,-0.2,Tue,ALL,0.6493,0.3278,14,OK
11:00,-0.5,-0.2,Wed,ALL,0.6404,0.28,18,OK
11:00,-0.5,-0.2,Thu,ALL,0.7052,0.2452,24,OK
11:00,-0.5,-0.2,Fri,ALL,0.7524,0.2485,16,OK
11:00,-0.5,-0.2,ALL,small,0.6166,0.2465,56,OK
11:00,-0.5,-0.2,ALL,large,0.7183,0.3492,26,OK
11:00,-0.2,0.1,ALL,ALL,0.6059,0.3374,79,OK
11:00,-0.2,0.1,Mon,ALL,0.4572,0.2829,10,OK
11:00,-0.2,0.1,Tue,ALL,0.7598,0.3246,17,OK
11:00,-0.2,0.1,Wed,ALL,0.5392,0.3606,12,OK
11:00,-0.2,0.1,Thu,ALL,0.6665,0.2908,33,OK
11:00,-0.2,0.1,Fri,ALL,0.2728,0.3563,7,OK
11:00,-0.2,0.1,ALL,small,0.6443,0.2976,64,OK
11:00,-0.2,0.1,ALL,large,0.4419,0.4474,15,OK
11:00,0.1,0.4,ALL,ALL,0.6093,0.3725,57,OK
11:00,0.1,0.4,Mon,ALL,0.4144,0.4271,19,OK
11:00,0.1,0.4,Tue,ALL,0.6957,0.3266,10,OK
11:00,0.1,0.4,Wed,ALL,0.635,0.289,12,OK
11:00,0.1,0.4,Thu,ALL,0.8286,0.2663,10,OK
11:00,0.1,0.4,Fri,ALL,0.6657,0.3652,6,OK
11:00,0.1,0.4,ALL,small,0.6797,0.3288,46,OK
11:00,0.1,0.4,ALL,large,0.3151,0.4155,11,OK
11:00,0.4,0.7,ALL,ALL,0.5222,0.4007,35,OK
11:00,0.4,0.7,Mon,ALL,0.3641,0.387,7,OK
11:00,0.4,0.7,Tue,ALL,0.5065,0.3755,9,OK
11:00,0.4,0.7,Wed,ALL,0.8605,,1,LOW_OBS
11:00,0.4,0.7,Thu,ALL,0.5035,0.4358,15,OK
11:00,0.4,0.7,Fri,ALL,0.9189,0.0478,3,LOW_OBS
11:00,0.4,0.7,ALL,small,0.5157,0.4006,31,OK
11:00,0.4,0.7,ALL,large,0.5726,0.4592,4,LOW_OBS
11:00,0.7,99.0,ALL,ALL,0.6135,0.3584,113,OK
11:00,0.7,99.0,Mon,ALL,0.6023,0.4062,22,OK
11:00,0.7,99.0,Tue,ALL,0.5859,0.3531,29,OK
11:00,0.7,99.0,Wed,ALL,0.7011,0.3129,21,OK
11:00,0.7,99.0,Thu,ALL,0.6847,0.322,25,OK
11:00,0.7,99.0,Fri,ALL,0.4526,0.3881,16,OK
11:00,0.7,99.0,ALL,small,0.6242,0.3568,106,OK
11:00,0.7,99.0,ALL,large,0.4506,0.3701,7,LOW_OBS
10:30,-99.0,-0.5,ALL,ALL,0.5421,0.1612,222,OK
10:30,-99.0,-0.5,Mon,ALL,0.558,0.1376,49,OK
10:30,-99.0,-0.5,Tue,ALL,0.5986,0.2107,21,OK
10:30,-99.0,-0.5,Wed,ALL,0.6089,0.2138,28,OK
10:30,-99.0,-0.5,Thu,ALL,0.5228,0.1511,64,OK
10:30,-99.0,-0.5,Fri,ALL,0.4989,0.1257,60,OK
10:30,-99.0,-0.5,ALL,small,0.534,0.1585,195,OK
10:30,-99.0,-0.5,ALL,large,0.6007,0.171,27,OK
10:30,-0.5,-0.2,ALL,ALL,0.6495,0.2578,72,OK
10:30,-0.5,-0.2,Mon,ALL,0.4385,0.1342,4,LOW_OBS
10:30,-0.5,-0.2,Tue,ALL,0.9153,0.0928,13,OK
10:30,-0.5,-0.2,Wed,ALL,0.581,0.2592,8,OK
10:30,-0.5,-0.2,Thu,ALL,0.598,0.2142,26,OK
10:30,-0.5,-0.2,Fri,ALL,0.6148,0.293,21,OK
10:30,-0.5,-0.2,ALL,small,0.6437,0.2414,62,OK
10:30,-0.5,-0.2,ALL,large,0.685,0.3574,10,OK
10:30,-0.2,0.1,ALL,ALL,0.5759,0.3097,94,OK
10:30,-0.2,0.1,Mon,ALL,0.5219,0.3367,15,OK
10:30,-0.2,0.1,Tue,ALL,0.5896,0.338,17,OK
10:30,-0.2,0.1,Wed,ALL,0.6068,0.3285,21,OK
10:30,-0.2,0.1,Thu,ALL,0.5815,0.2778,30,OK
10:30,-0.2,0.1,Fri,ALL,0.5541,0.3214,11,OK
10:30,-0.2,0.1,ALL,small,0.6035,0.2818,79,OK
10:30,-0.2,0.1,ALL,large,0.4306,0.4093,15,OK
10:30,0.1,0.4,ALL,ALL,0.682,0.3027,65,OK
10:30,0.1,0.4,Mon,ALL,0.7181,0.2899,17,OK
10:30,0.1,0.4,Tue,ALL,0.7711,0.3046,16,OK
10:30,0.1,0.4,Wed,ALL,0.6856,0.2771,14,OK
10:30,0.1,0.4,Thu,ALL,0.5422,0.3399,12,OK
10:30,0.1,0.4,Fri,ALL,0.6132,0.2982,6,OK
10:30,0.1,0.4,ALL,small,0.69,0.2959,63,OK
10:30,0.1,0.4,ALL,large,0.4287,0.5497,2,LOW_OBS
10:30,0.4,0.7,ALL,ALL,0.5059,0.373,58,OK
10:30,0.4,0.7,Mon,ALL,0.3797,0.4018,8,OK
10:30,0.4,0.7,Tue,ALL,0.6139,0.3648,16,OK
10:30,0.4,0.7,Wed,ALL,0.4215,0.5539,2,LOW_OBS
10:30,0.4,0.7,Thu,ALL,0.5218,0.368,28,OK
10:30,0.4,0.7,Fri,ALL,0.258,0.2945,4,LOW_OBS
10:30,0.4,0.7,ALL,small,0.5148,0.3701,57,OK
10:30,0.4,0.7,ALL,large,0.0018,,1,LOW_OBS
10:30,0.7,99.0,ALL,ALL,0.5541,0.3567,134,OK
10:30,0.7,99.0,Mon,ALL,0.5122,0.3722,14,OK
10:30,0.7,99.0,Tue,ALL,0.5439,0.3439,45,OK
10:30,0.7,99.0,Wed,ALL,0.7311,0.3268,20,OK
10:30,0.7,99.0,Thu,ALL,0.5306,0.3678,36,OK
10:30,0.7,99.0,Fri,ALL,0.4676,0.3605,19,OK
10:30,0.7,99.0,ALL,small,0.5477,0.3619,128,OK
10:30,0.7,99.0,ALL,large,0.6906,0.1846,6,LOW_OBS
